Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-5063,L-valine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-hydroxy-L-valine + oxidized [NADPH-hemoprotein reductase] + H2O + H+,L-valine // dioxygen // a reduced [NADPH-hemoprotein reductase],VAL // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C5H11NO2 // O2 // ,117.0789786025d0 // 31.9898292442d0,<i>N</i>-hydroxy-L-valine // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-4862 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C5H10NO3 //  // H2O // H,133.0738932246d0 // 18.0105646863d0 // 1.0078250321d0
VALSYN-PWY,L-valine biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
PWY18C3-18,labdenediol and sclareol biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-11248,lachnanthocarpone  ->  anigorufone,lachnanthocarpone,CPD-12203,C19H12O3,288.0786442515d0,anigorufone,CPD-12201,C19H11O2,272.0837296294d0
RXN-14752,ladanein + S-adenosyl-L-methionine  ->  salvigenin + S-adenosyl-L-homocysteine + H+,<i>S</i>-adenosyl-L-methionine // ladanein,S-ADENOSYLMETHIONINE // CPD-15632,C15H23N6O5S // C17H14O6,400.1528886021d0 // 314.079038182d0,H<SUP>+</SUP> // salvigenin // <i>S</i>-adenosyl-L-homocysteine,PROTON // CPD-15477 // ADENOSYL-HOMO-CYS,H // C18H16O6 // C14H20N6O5S,1.0078250321d0 // 328.0946882462d0 // 384.1215884737d0
RXN-20972,lanatoside A + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  lanatoside C + oxidized [NADPH-hemoprotein reductase] + H2O,lanatoside A // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-22613 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C49H76O19 //  // O2,968.4980802595001d0 // 31.9898292442d0,lanatoside C // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-22614 // Ox-NADPH-Hemoprotein-Reductases // WATER,C49H76O20 //  // H2O,984.4929948816d0 // 18.0105646863d0
RXN3O-130,"lanosterol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4,4-dimethyl-5-alpha-cholesta-8,14,24-trien-3-beta-ol + formate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+",lanosterol // dioxygen // a reduced [NADPH-hemoprotein reductase],LANOSTEROL // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C30H50O // O2 // ,426.3861662271d0 // 31.9898292442d0,"4,4-dimethyl-5-&alpha;-cholesta-8,14,24-trien-3-&beta;-ol // formate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>",44-DIMETHYL-CHOLESTA-814-24-TRIENOL // FORMATE // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C29H46O // CHO2 //  // H2O // H,410.3548660987d0 // 46.0054793084d0 // 18.0105646863d0 // 1.0078250321d0
PWY-6132,lanosterol biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-13914,"laricitrin + S-adenosyl-L-methionine  ->  3',4'-dimethylmyricetin + S-adenosyl-L-homocysteine + H+",<i>S</i>-adenosyl-L-methionine // laricitrin,S-ADENOSYLMETHIONINE // CPD-8605,C15H23N6O5S // C16H11O8,400.1528886021d0 // 332.053217362d0,"H<SUP>+</SUP> // 3',4'-dimethylmyricetin // <i>S</i>-adenosyl-L-homocysteine",PROTON // CPD-14935 // ADENOSYL-HOMO-CYS,H // C17H13O8 // C14H20N6O5S,1.0078250321d0 // 346.0688674262d0 // 384.1215884737d0
RXN-13913,"laricitrin + S-adenosyl-L-methionine  ->  3,3'-dimethylmyricetin + S-adenosyl-L-homocysteine + H+",<i>S</i>-adenosyl-L-methionine // laricitrin,S-ADENOSYLMETHIONINE // CPD-8605,C15H23N6O5S // C16H11O8,400.1528886021d0 // 332.053217362d0,"H<SUP>+</SUP> // 3,3'-dimethylmyricetin // <i>S</i>-adenosyl-L-homocysteine",PROTON // CPD-14939 // ADENOSYL-HOMO-CYS,H // C17H13O8 // C14H20N6O5S,1.0078250321d0 // 346.0688674262d0 // 384.1215884737d0
RXN-8452,laricitrin + S-adenosyl-L-methionine  ->  syringetin + S-adenosyl-L-homocysteine + H+,<i>S</i>-adenosyl-L-methionine // laricitrin,S-ADENOSYLMETHIONINE // CPD-8605,C15H23N6O5S // C16H11O8,400.1528886021d0 // 332.053217362d0,H<SUP>+</SUP> // syringetin // <i>S</i>-adenosyl-L-homocysteine,PROTON // SYRINGETIN // ADENOSYL-HOMO-CYS,H // C17H13O8 // C14H20N6O5S,1.0078250321d0 // 346.0688674262d0 // 384.1215884737d0
1.14.21.6-RXN,lathosterol + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  7-dehydrocholesterol + 2 ferricytochrome b5 + 2 H2O,lathosterol // a ferrocytochrome <i>b<SUB>5</SUB></i> // dioxygen // H<SUP>+</SUP>,CPD-4186 // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON,C27H46O //  // O2 // H,386.3548660987d0 // 31.9898292442d0 // 1.0078250321d0,7-dehydrocholesterol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O,CPD-4187 // FERRICYTOCHROME-B5 // WATER,C27H44O //  // H2O,384.3392160345d0 // 18.0105646863d0
RXN66-321,"lathosterol + NADP+  <-  5alpha-cholesta-7,24-dien-3beta-ol + NADPH + H+","5&alpha;-cholesta-7,24-dien-3&beta;-ol // NADPH // H<SUP>+</SUP>",5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL // NADPH // PROTON,C27H44O // C21H26N7O17P3 // H,384.3392160345d0 // 745.0911021051d0 // 1.0078250321d0,lathosterol // NADP<sup>+</sup>,CPD-4186 // NADP,C27H46O // C21H25N7O17P3,386.3548660987d0 // 745.0911021051d0
RXN-20442,lathosterol + NADP+  <-  lathosterone + NADPH + H+,lathosterone // NADPH // H<SUP>+</SUP>,CPD-22137 // NADPH // PROTON,C27H44O // C21H26N7O17P3 // H,384.3392160345d0 // 745.0911021051d0 // 1.0078250321d0,lathosterol // NADP<sup>+</sup>,CPD-4186 // NADP,C27H46O // C21H25N7O17P3,386.3548660987d0 // 745.0911021051d0
RXN-16393,laurate + coenzyme A + ATP  ->  lauroyl-CoA + AMP + diphosphate,laurate // coenzyme A // ATP,DODECANOATE // CO-A // ATP,C12H23O2 // C21H32N7O16P3S // C10H12N5O13P3,200.1776300146d0 // 767.1152083656d0 // 506.99574515689994d0,lauroyl-CoA // diphosphate // AMP,LAUROYLCOA-CPD // PPI // AMP,C33H54N7O17P3S // HO7P2 // C10H12N5O7P,949.2822736939d0 // 177.9432255031d0 // 347.0630843401d0
RXN-11340,laurate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  11-hydroxydodecanoate + oxidized [NADPH-hemoprotein reductase] + H2O,laurate // a reduced [NADPH-hemoprotein reductase] // dioxygen,DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C12H23O2 //  // O2,200.1776300146d0 // 31.9898292442d0,11-hydroxydodecanoate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-12299 // Ox-NADPH-Hemoprotein-Reductases // WATER,C12H23O3 //  // H2O,216.1725446367d0 // 18.0105646863d0
RXN-11336,laurate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  12-hydroxylaurate + oxidized [NADPH-hemoprotein reductase] + H2O,laurate // a reduced [NADPH-hemoprotein reductase] // dioxygen,DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C12H23O2 //  // O2,200.1776300146d0 // 31.9898292442d0,12-hydroxylaurate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-12282 // Ox-NADPH-Hemoprotein-Reductases // WATER,C12H23O3 //  // H2O,216.1725446367d0 // 18.0105646863d0
RXN-12186,laurate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  7-hydroxylaurate + oxidized [NADPH-hemoprotein reductase] + H2O,laurate // a reduced [NADPH-hemoprotein reductase] // dioxygen,DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C12H23O2 //  // O2,200.1776300146d0 // 31.9898292442d0,7-hydroxylaurate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-17637 // Ox-NADPH-Hemoprotein-Reductases // WATER,C12H23O3 //  // H2O,216.1725446367d0 // 18.0105646863d0
RXN-9627,lauroyl-CoA + H2O  ->  laurate + coenzyme A + H+,lauroyl-CoA // H<sub>2</sub>O,LAUROYLCOA-CPD // WATER,C33H54N7O17P3S // H2O,949.2822736939d0 // 18.0105646863d0,H<SUP>+</SUP> // laurate // coenzyme A,PROTON // DODECANOATE // CO-A,H // C12H23O2 // C21H32N7O16P3S,1.0078250321d0 // 200.1776300146d0 // 767.1152083656d0
RXN-16152,lesqueroloyl-CoA + a glycerolipid  ->  a [glycerolipid]-lesquerolate + coenzyme A,lesqueroloyl-CoA // a glycerolipid,CPD-15366 // Glycerolipids,C41H68N7O18P3S // ,1075.3867387654002d0,a [glycerolipid]-lesquerolate // coenzyme A,CPD-17400 // CO-A, // C21H32N7O16P3S,767.1152083656d0
RXN-8478,leucodopachrome + betalamate + H+  ->  betanidin + H2O,H<SUP>+</SUP> // leucodopachrome // betalamate,PROTON // CPD-8652 // CPD-8651,H // C9H8NO4 // C9H7NO5,1.0078250321d0 // 195.0531577825d0 // 211.04807240460002d0,betanidin // H<sub>2</sub>O,CPD-8653 // WATER,C18H14N2O8 // H2O,390.106315565d0 // 18.0105646863d0
RXN-8518,levopimaradienal + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  levopimaric acid + oxidized [NADPH-hemoprotein reductase] + H2O + H+,levopimaradienal // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8707 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H30O //  // O2,286.2296655851d0 // 31.9898292442d0,levopimaric acid // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-8708 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C20H29O2 //  // H2O // H,302.2245802072d0 // 18.0105646863d0 // 1.0078250321d0
RXN-8515,levopimaradiene + NADPH + H+ + dioxygen  ->  levopimaradienol + NADP+ + H2O,H<SUP>+</SUP> // levopimaradiene // NADPH // dioxygen,PROTON // CPD-8695 // NADPH // OXYGEN-MOLECULE,H // C20H32 // C21H26N7O17P3 // O2,1.0078250321d0 // 272.2504010272d0 // 745.0911021051d0 // 31.9898292442d0,levopimaradienol // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-8705 // NADP // WATER,C20H32O // C21H25N7O17P3 // H2O,288.2453156493d0 // 745.0911021051d0 // 18.0105646863d0
RXN-8517,levopimaradienol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  levopiramadiene-diol + oxidized [NADPH-hemoprotein reductase] + H2O,levopimaradienol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-8705 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C20H32O //  // O2,288.2453156493d0 // 31.9898292442d0,levopiramadiene-diol // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-8706 // Ox-NADPH-Hemoprotein-Reductases // WATER,C20H32O2 //  // H2O,304.2402302714d0 // 18.0105646863d0
PWY-5412,levopimaric acid biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-8516,levopiramadiene-diol  ->  levopimaradienal + H2O,levopiramadiene-diol,CPD-8706,C20H32O2,304.2402302714d0,levopimaradienal // H<sub>2</sub>O,CPD-8707 // WATER,C20H30O // H2O,286.2296655851d0 // 18.0105646863d0
LICODIONE-2-O-METHYLTRANSFERASE-RXN,licodione + S-adenosyl-L-methionine  ->  2'-O-methyllicodione + S-adenosyl-L-homocysteine + H+,<i>S</i>-adenosyl-L-methionine // licodione,S-ADENOSYLMETHIONINE // LICODIONE,C15H23N6O5S // C15H11O5,400.1528886021d0 // 272.0684734957d0,H<SUP>+</SUP> // 2'-O-methyllicodione // <i>S</i>-adenosyl-L-homocysteine,PROTON // CPD-4302 // ADENOSYL-HOMO-CYS,H // C16H13O5 // C14H20N6O5S,1.0078250321d0 // 286.0841235599d0 // 384.1215884737d0
RXN-13296,lignoceroyl-CoA + malonyl-CoA + H+  ->  3-oxocerotoyl-CoA + CO2 + coenzyme A,lignoceroyl-CoA // malonyl-CoA // H<SUP>+</SUP>,CPD-10280 // MALONYL-COA // PROTON,C45H78N7O17P3S // C24H33N7O19P3S // H,1117.4700744643d0 // 853.1156022961001d0 // 1.0078250321d0,3-oxocerotoyl-CoA // CO<SUB>2</SUB> // coenzyme A,CPD-14274 // CARBON-DIOXIDE // CO-A,C47H80N7O18P3S // CO2 // C21H32N7O16P3S,1159.4806391506002d0 // 43.989829244199996d0 // 767.1152083656d0
RXN-13308,lignoceroyl-CoA + NADP+  <-  trans-lignocer-2-enoyl-CoA + NADPH + H+,<i>trans</i>-lignocer-2-enoyl-CoA // NADPH // H<SUP>+</SUP>,CPD-14282 // NADPH // PROTON,C45H76N7O17P3S // C21H26N7O17P3 // H,1115.4544244001002d0 // 745.0911021051d0 // 1.0078250321d0,lignoceroyl-CoA // NADP<sup>+</sup>,CPD-10280 // NADP,C45H78N7O17P3S // C21H25N7O17P3,1117.4700744643d0 // 745.0911021051d0
RXN-13692,linalyl &beta;-primeverosidase,linalyl &beta;-primeveroside // H<sub>2</sub>O,CPD-14732 // WATER,C21H36O10 // H2O,448.23084737659997d0 // 18.0105646863d0,(<i>RS</i>)-linalool // primeverose,Linalools // 6-O-BETA-D-XYLOPYRANOSYL,C10H18O // C11H20O10,154.1357651999d0 // 312.105646863d0
RXN-13701,linalyl vicianosidase,linalyl &beta;-vicianoside // H<sub>2</sub>O,CPD-14742 // WATER,C21H36O10 // H2O,448.23084737659997d0 // 18.0105646863d0,(<i>RS</i>)-linalool // vicianose,Linalools // VICIANOSE,C10H18O // C11H20O10,154.1357651999d0 // 312.105646863d0
RXN-5341,linamarin + H2O  ->  2-hydroxy-2-methylpropanenitrile + D-glucopyranose,linamarin // H<sub>2</sub>O,LINAMARIN // WATER,C10H17NO6 // H2O,247.10558728350003d0 // 18.0105646863d0,2-hydroxy-2-methylpropanenitrile // D-glucopyranose,2-HYDROXY-2-METHYLPROPANENITRILE // Glucopyranose,C4H7NO // C6H12O6,85.052763852d0 // 180.0633881178d0
PWY-3022,linamarin biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-8495,linoleate + dioxygen  ->  (9S)-HPODE,linoleate // dioxygen,LINOLEIC_ACID // OXYGEN-MOLECULE,C18H31O2 // O2,280.2402302714d0 // 31.9898292442d0,(9<i>S</i>)-HPODE,CPD-8677,C18H31O4,312.2300595156d0
LIPOXYGENASE-RXN,linoleate[plastid stroma] + dioxygen[plastid stroma]  ->  (13S)-HPODE[plastid stroma],linoleate // dioxygen,LINOLEIC_ACID // OXYGEN-MOLECULE,C18H31O2 // O2,280.2402302714d0 // 31.9898292442d0,(13<i>S</i>)-HPODE,13-HYDROPEROXYOCTADECA-911-DIENOATE,C18H31O4,312.2300595156d0
RXN-16045,linoleoyl-CoA + a glycerolipid  <-  a [glycerolipid]-linoleate + coenzyme A,a [glycerolipid]-linoleate // coenzyme A,Linoleoyl-groups // CO-A, // C21H32N7O16P3S,767.1152083656d0,linoleoyl-CoA // a glycerolipid,CPD-18 // Glycerolipids,C39H62N7O17P3S // ,1029.3448739507d0
LINOLEOYL-RXN,linoleoyl-CoA + H2O  ->  linoleate + coenzyme A + H+,linoleoyl-CoA // H<sub>2</sub>O,CPD-18 // WATER,C39H62N7O17P3S // H2O,1029.3448739507d0 // 18.0105646863d0,H<SUP>+</SUP> // linoleate // coenzyme A,PROTON // LINOLEIC_ACID // CO-A,H // C18H31O2 // C21H32N7O16P3S,1.0078250321d0 // 280.2402302714d0 // 767.1152083656d0
RXN-16116,linoleoyl-CoA + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  18-hydroxylinoleoyl-CoA + oxidized [NADPH-hemoprotein reductase] + H2O,linoleoyl-CoA // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-18 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C39H62N7O17P3S //  // O2,1029.3448739507d0 // 31.9898292442d0,18-hydroxylinoleoyl-CoA // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-17371 // Ox-NADPH-Hemoprotein-Reductases // WATER,C39H62N7O18P3S //  // H2O,1045.3397885728d0 // 18.0105646863d0
RXN-13646,linustatin + H2O  ->  2-hydroxy-2-methylpropanenitrile + gentiobiose,linustatin // H<sub>2</sub>O,CPD-14594 // WATER,C16H27NO11 // H2O,409.158410715d0 // 18.0105646863d0,2-hydroxy-2-methylpropanenitrile // gentiobiose,2-HYDROXY-2-METHYLPROPANENITRILE // Gentiobiose,C4H7NO // C12H22O11,85.052763852d0 // 342.11621154930003d0
RXN-13602,linustatin &beta;-diglucosidase,linustatin // H<sub>2</sub>O,CPD-14594 // WATER,C16H27NO11 // H2O,409.158410715d0 // 18.0105646863d0,linamarin // D-glucopyranose,LINAMARIN // Glucopyranose,C10H17NO6 // C6H12O6,247.10558728350003d0 // 180.0633881178d0
TETRAACYLDISACC4KIN-RXN,lipid A disaccharide (E. coli) + ATP  ->  lipid IVA (E. coli) + ADP + H+,lipid A disaccharide (<i>E. coli</i>) // ATP,BISOHMYR-GLC // ATP,C68H127N2O20P // C10H12N5O13P3,1324.8876311033d0 // 506.99574515689994d0,H<SUP>+</SUP> // lipid IV<sub>A</sub> (<i>E. coli</i>) // ADP,PROTON // LIPID-IV-A // ADP,H // C68H126N2O23P2 // C10H12N5O10P2,1.0078250321d0 // 1404.8539615117002d0 // 427.0294147485d0
LIPIDADISACCHARIDESYNTH-RXN,"lipid X (E. coli) + UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine  ->  lipid A disaccharide (E. coli) + UDP + H+","lipid X (<i>E. coli</i>) // UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-&alpha;-D-glucosamine",BISOHMYR-GLUCOSAMINYL-1P // OH-MYRISTOYL,C34H64NO12P // C43H75N3O20P2,711.432263099d0 // 1017.4575649493d0,lipid A disaccharide (<i>E. coli</i>) // UDP // H<SUP>+</SUP>,BISOHMYR-GLC // UDP // PROTON,C68H127N2O20P // C9H11N2O12P2 // H,1324.8876311033d0 // 404.002196945d0 // 1.0078250321d0
PWY-4541,"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
PWY-4562,"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P<sub>3</sub>)",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-8255,littorine  ->  (S)-atropine,littorine,CPD-7996,C17H24NO3,289.1677936098d0,(<i>S</i>)-atropine,L-HYOSCYAMINE,C17H24NO3,289.1677936098d0
LOGANATE-O-METHYLTRANSFERASE-RXN,loganate + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + loganin,<i>S</i>-adenosyl-L-methionine // loganate,S-ADENOSYLMETHIONINE // LOGANATE,C15H23N6O5S // C16H23O10,400.1528886021d0 // 376.1369469914d0,<i>S</i>-adenosyl-L-homocysteine // loganin,ADENOSYL-HOMO-CYS // LOGANIN,C14H20N6O5S // C17H26O10,384.1215884737d0 // 390.15259705560004d0
1.3.3.9-RXN,loganin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  secologanin + oxidized [NADPH-hemoprotein reductase] + 2 H2O,loganin // dioxygen // a reduced [NADPH-hemoprotein reductase],LOGANIN // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C17H26O10 // O2 // ,390.15259705560004d0 // 31.9898292442d0,secologanin // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],SECOLOGANIN-CPD // WATER // Ox-NADPH-Hemoprotein-Reductases,C17H24O10 // H2O // ,388.1369469914d0 // 18.0105646863d0
RXN-9674,lotaustralin + H2O  ->  (2R)-2-hydroxy-2-methylbutanenitrile + D-glucopyranose,lotaustralin // H<sub>2</sub>O,CPD-10277 // WATER,C11H19NO6 // H2O,261.1212373477d0 // 18.0105646863d0,(2R)-2-hydroxy-2-methylbutanenitrile // D-glucopyranose,CPD-12699 // Glucopyranose,C5H9NO // C6H12O6,99.0684139162d0 // 180.0633881178d0
PWY-5990,lotaustralin biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-4845,lubimin + a reduced two electron carrier + dioxygen  ->  3-hydroxylubimin + an oxidized electron carrier + H2O,lubimin // dioxygen // a reduced two electron carrier,CPD-4743 // OXYGEN-MOLECULE // Donor-H2,C15H24O2 // O2 // ,236.1776300146d0 // 31.9898292442d0,3-hydroxylubimin // H<sub>2</sub>O // an oxidized electron carrier,CPD-4744 // WATER // Acceptor,C15H24O3 // H2O // ,252.1725446367d0 // 18.0105646863d0
RXN-8693,lupanine  ->  13-hydroxylupanine,lupanine,CPD-8917,C15H25N2O,248.1888634029d0,13-hydroxylupanine,13-HYDROXYLUPININE,C15H25N2O2,264.18377802500004d0
RXN-13497,lupeol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  betulin + oxidized [NADPH-hemoprotein reductase] + H2O,lupeol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-90 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C30H50O //  // O2,426.3861662271d0 // 31.9898292442d0,betulin // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-14491 // Ox-NADPH-Hemoprotein-Reductases // WATER,C30H50O2 //  // H2O,442.3810808492d0 // 18.0105646863d0
PWY-5132,lupulone and humulone biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-7884,"lutein + 2 dioxygen  ->  3-hydroxy-beta-ionone + 3-hydroxy-9-apo-delta-caroten-9-one + 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial",lutein // dioxygen,CPD1F-119 // OXYGEN-MOLECULE,C40H56O2 // O2,568.4280310418d0 // 31.9898292442d0,"3-hydroxy-&beta;-ionone // 3-hydroxy-9-apo-&delta;-caroten-9-one // 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial",CPD-7200 // CPD-7199 // CPD-7202,C13H20O2 // C13H20O2 // C14H16O2,208.1463298862d0 // 216.1150297578d0
PWY-5947,lutein biosynthesis,,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0).",,,,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
RXN-14423,luteoforol oxygenase,luteoforol // dioxygen // 2-oxoglutarate // H<SUP>+</SUP>,CPD-11941 // OXYGEN-MOLECULE // 2-KETOGLUTARATE // PROTON,C15H14O6 // O2 // C5H4O5 // H,290.079038182d0 // 31.9898292442d0 // 146.0215233031d0 // 1.0078250321d0,luteolinidin // succinate // CO<SUB>2</SUB> // H<sub>2</sub>O,CPD-11945 // SUC // CARBON-DIOXIDE // WATER,C15H11O5 // C4H4O4 // CO2 // H2O,271.0606484636d0 // 118.026608681d0 // 43.989829244199996d0 // 18.0105646863d0
RXN-14422,eridictyol 4-reductase,(2S)-eriodictyol // NADPH // H<SUP>+</SUP>,CPD-6994 // NADPH // PROTON,C15H11O6 // C21H26N7O17P3 // H,288.0633881178d0 // 745.0911021051d0 // 1.0078250321d0,luteoforol // NADP<sup>+</sup>,CPD-11941 // NADP,C15H14O6 // C21H25N7O17P3,290.079038182d0 // 745.0911021051d0
RXN-12616,luteolin <em>O</em>-methyltransferase,<i>S</i>-adenosyl-L-methionine // luteolin,S-ADENOSYLMETHIONINE // 5734-TETRAHYDROXYFLAVONE,C15H23N6O5S // C15H9O6,400.1528886021d0 // 286.04773805359997d0,H<SUP>+</SUP> // <i>S</i>-adenosyl-L-homocysteine // chrysoeriol,PROTON // ADENOSYL-HOMO-CYS // 574-TRIHYDROXY-3-METHOXYFLAVONE,H // C14H20N6O5S // C16H11O6,1.0078250321d0 // 384.1215884737d0 // 300.0633881178d0
LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN,luteolin + UDP-alpha-D-glucuronate  ->  luteolin 7-O-beta-D-glucuronide + UDP,luteolin // UDP-&alpha;-D-glucuronate,5734-TETRAHYDROXYFLAVONE // UDP-GLUCURONATE,C15H9O6 // C15H19N2O18P2,286.04773805359997d0 // 580.0342849344d0,luteolin 7-O-&beta;-D-glucuronide // UDP,LUTEOLIN-7-O-BETA-D-GLUCURONIDE // UDP,C21H17O12 // C9H11N2O12P2,462.079826043d0 // 404.002196945d0
RXN-15290,luteolin 7-O-beta-D-diglucuronide + H2O  ->  luteolin 7-O-beta-D-glucuronide + beta-D-glucuronate,luteolin 7-<i>O</i>-&beta;-D-diglucuronide // H<sub>2</sub>O,LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE // WATER,C27H24O18 // H2O,638.1119140324d0 // 18.0105646863d0,luteolin 7-O-&beta;-D-glucuronide // &beta;-D-glucuronate,LUTEOLIN-7-O-BETA-D-GLUCURONIDE // CPD-12521,C21H17O12 // C6H9O7,462.079826043d0 // 194.0426526757d0
RXN-13801,luteolin 7-O-beta-D-glucoside + UDP-alpha-D-glucose  ->  luteolin-7-O-gentiobioside + UDP + H+,luteolin 7-<i>O</i>-&beta;-D-glucoside // UDP-&alpha;-D-glucose,LUTEOLIN-7-O-BETA-D-GLUCOSIDE // CPD-12575,C21H20O11 // C15H22N2O17P2,448.1005614851d0 // 566.0550203765d0,luteolin-7-<i>O</i>-gentiobioside // UDP // H<SUP>+</SUP>,CPD-14825 // UDP // PROTON,C27H30O16 // C9H11N2O12P2 // H,610.1533849166d0 // 404.002196945d0 // 1.0078250321d0
RXN-5004,luteolin 7-O-beta-D-glucoside + UDP-beta-L-rhamnose  ->  UDP + luteolin 7-O-neohesperidoside + H+,luteolin 7-<i>O</i>-&beta;-D-glucoside // UDP-&beta;-L-rhamnose,LUTEOLIN-7-O-BETA-D-GLUCOSIDE // UDP-L-RHAMNOSE,C21H20O11 // C15H22N2O16P2,448.1005614851d0 // 550.0601057544d0,H<SUP>+</SUP> // UDP // luteolin 7-<i>O</i>-neohesperidoside,PROTON // UDP // LUTEOLIN-7-O-NEOHESPERIDOSIDE,H // C9H11N2O12P2 // C27H30O15,1.0078250321d0 // 404.002196945d0 // 594.1584702945d0
