kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,Δm/z,mzDiff,REACTION ID,ENZYME ID,COMMENT,PATHWAY
C02709,C02720,CC(=O)ONC1=CC=CC=C1,C1=CC=C(C=C1)NO,151.0633,109.0528,C8H9NO2,C6H7NO,42.0105,42.0106 ,R04024,2.3.1.118,0,0
C01091,C01626,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2O)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H](C([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,414.2155,456.226,C23H30N2O5,C25H32N2O6,-42.0105,42.0106 ,R03230,2.3.1.107,0,rn00901: Indole alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C02646,C20465,C1=CC(=CC=C1/C=C/CO)O,CC(=O)OC/C=C/C1=CC=C(C=C1)O,150.0681,192.0786,C9H10O2,C11H12O3,-42.0105,42.0106 ,R10254,2.3.1.-,coniferyl alcohol acyltransferase (CFAT),rn00940: Phenylpropanoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C02293,C03527,CC1=C(C(CCC1)(C)C)CC/C(=C/OC=O)/C,CC1=C(C(CCC1)(C)C)CCC(=O)C,236.1776,194.1671,C15H24O2,C13H22O,42.0105,42.0106 ,R03907,1.14.99.21,0,0
C00596,C06210,C=C/C=C(\C(=O)O)/O,CC(=O)/C=C\C=C(/C(=O)O)\O,114.0317,156.0423,C5H6O3,C7H8O4,-42.0106,42.0106 ,R05138,3.7.1.25,0,rn00622: Xylene degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C05332,C06746,C1=CC=C(C=C1)CCN,CC(=O)NCCC1=CC=CC=C1,121.0891,163.0997,C8H11N,C10H13NO,-42.0106,42.0106 ,R07301,3.5.1.85,0,0
C00315,C01029,C(CCNCCCN)CN,CC(=O)NCCCCNCCCN,145.1579,187.1685,C7H19N3,C9H21N3O,-42.0106,42.0106 ,R07300,3.5.1.48,0,0
C06376,C06377,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)COP(=O)(O)O)O)O,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O,301.0563,259.0457,C8H16NO9P,C6H14NO8P,42.0106,42.0106 ,R05168,3.5.1.25,0,rn00052: Galactose metabolism///rn01100: Metabolic pathways
C03239,C05548,C(CCN)CC(=O)C(=O)O,CC(=O)NCCCCC(=O)C(=O)O,145.0739,187.0845,C6H11NO3,C8H13NO4,-42.0106,42.0106 ,R04174,3.5.1.17,0,rn00310: Lysine degradation///rn01100: Metabolic pathways
C00327,C15532,C(C[C@@H](C(=O)O)N)CNC(=O)N,CC(=O)N[C@@H](CCCNC(=O)N)C(=O)O,175.0957,217.1063,C6H13N3O3,C8H15N3O4,-42.0106,42.0106 ,R09107,3.5.1.16,0,rn00220: Arginine biosynthesis///rn01100: Metabolic pathways///rn01230: Biosynthesis of amino acids
C03283,C19929,C(CN)[C@@H](C(=O)O)N,CC(=O)N[C@@H](CCN)C(=O)O,118.0742,160.0848,C4H10N2O2,C6H12N2O3,-42.0106,42.0106 ,R09801,3.5.1.125,"N-alpha-acetyl-L-2,4-diaminobutyrate deacetylase","rn00260: Glycine, serine and threonine metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments"
C17587,C17588,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@@H]2[C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H]([C@@H](C[C@@H]([C@H]3O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CN)O)O)N)N)N)O)CO)CO)O)O,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)N)O)O)N,657.3069,615.2963,C25H47N5O15,C23H45N5O14,42.0106,42.0106 ,R08901,3.5.1.113,0,"rn00524: Neomycin, kanamycin and gentamicin biosynthesis///rn01110: Biosynthesis of secondary metabolites"
C04738,C06022,CCCCCCCCCCC[C@H](CC(=O)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O,CCCCCCCCCCC[C@H](CC(=O)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)N)O,833.2749,791.2643,C31H53N3O19P2,C29H51N3O18P2,42.0106,42.0106 ,R04587,3.5.1.108,0,rn00540: Lipopolysaccharide biosynthesis///rn01100: Metabolic pathways
C19702,C19784,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC2[C@@H]([C@H](C([C@H]([C@H]2O)O)O)O)O)N)O)O)O,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC2[C@@H]([C@H](C([C@H]([C@H]2O)O)O)O)O)CO)O)O,341.1322,383.1428,C12H23NO10,C14H25NO11,-42.0106,42.0106 ,R09651,3.5.1.103,0,0
C04606,C04711,CC(=O)OCC(C#CC1=CC=C(S1)C2=CC=CS2)OC(=O)C,CC(=O)OCC(C#CC1=CC=C(S1)C2=CC=CS2)O,334.0334,292.0228,C16H14O4S2,C14H12O3S2,42.0106,42.0106 ,R04525,3.1.1.66,0,0
C03081,C03837,CC1=CC(=O)OC2=C1C=CC(=C2)O,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,176.0473,218.0579,C10H8O3,C12H10O4,-42.0106,42.0106 ,R04141,3.1.1.56,0,0
C00805,C01405,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)OC1=CC=CC=C1C(=O)O,138.0317,180.0423,C7H6O3,C9H8O4,-42.0106,42.0106 ,R02942,3.1.1.55,0,0
C04485,C04486,CC(=O)OCCC#CC1=CC=C(S1)C2=CC=CS2,C1=CSC(=C1)C2=CC=C(S2)C#CCCO,276.0279,234.0173,C14H12O2S2,C12H10OS2,42.0106,42.0106 ,R04490,3.1.1.54,0,0
C00031,C02655,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O,180.0634,222.074,C6H12O6,C8H14O7,-42.0106,42.0106 ,R00327,3.1.1.33,0,0
C00042,C00846,C(CC(=O)O)C(=O)O,C(CC(=O)O)C(=O)CC(=O)O,118.0266,160.0372,C4H6O4,C6H8O5,-42.0106,42.0106 ,R02990,2.8.3.6,0,rn00362: Benzoate degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00051,C14871,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C(CC(=O)N[C@@H](CSCC=O)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,307.0838,349.0944,C10H17N3O6S,C12H19N3O7S,-42.0106,42.0106 ,R07116,2.5.1.18,0,rn00980: Metabolism of xenobiotics by cytochrome P450
C00825,C03154,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N,CC(=O)NC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N)O)O,483.254,525.2646,C18H37N5O10,C20H39N5O11,-42.0106,42.0106 ,R01889,2.3.1.82,0,0
C00208,C02130,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O,342.1162,384.1268,C12H22O11,C14H24O12,-42.0106,42.0106 ,R01556,2.3.1.79,0,0
C00487,C02571,C[N+](C)(C)CC(CC(=O)O)O,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,162.113,204.1236,C7H16NO3,C9H18NO4,-42.0106,42.0106 ,R02396,2.3.1.7,0,0
C00123,C02710,CC(C)C[C@@H](C(=O)O)N,CC(C)C[C@@H](C(=O)O)NC(=O)C,131.0946,173.1052,C6H13NO2,C8H15NO3,-42.0106,42.0106 ,R01089,2.3.1.66,0,0
C00908,C03524,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC[C@H](O3)CN)N)N)N)O,CC(=O)N[C@@H]1CC[C@H](O[C@@H]1O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)CN,449.2849,491.2955,C19H39N5O7,C21H41N5O8,-42.0106,42.0106 ,R03056,2.3.1.59,0,0
C00263,C01077,C(CO)[C@@H](C(=O)O)N,CC(=O)OCC[C@@H](C(=O)O)N,119.0582,161.0688,C4H9NO3,C6H11NO4,-42.0106,42.0106 ,R01776,2.3.1.31,0,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways
C00065,C00979,C([C@@H](C(=O)O)N)O,CC(=O)OC[C@@H](C(=O)O)N,105.0426,147.0532,C3H7NO3,C5H9NO4,-42.0106,42.0106 ,R00586,2.3.1.30,0,rn00270: Cysteine and methionine metabolism///rn00920: Sulfur metabolism///rn00998: Biosynthesis of various antibiotics///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01200: Carbon metabolism///rn01230: Biosynthesis of amino acids
C00918,C03601,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],CC(=O)OC[C@H]([C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,322.0123,364.0229,C11H12Cl2N2O5,C13H14Cl2N2O6,-42.0106,42.0106 ,R03065,2.3.1.28,0,0
C00735,C02821,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,362.2093,404.2199,C21H30O5,C23H32O6,-42.0106,42.0106 ,R02837,2.3.1.27,0,0
C14144,C19945,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/CCC(=O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)C/C=C\CC(=O)O)O,893.1469,935.1575,C27H42N7O19P3S,C29H44N7O20P3S,-42.0106,42.0106 ,R09839,2.3.1.223,0,rn00360: Phenylalanine metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C04346,C20415,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)N,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)NC(=O)C,547.0968,589.1074,C16H27N3O14P2,C18H29N3O15P2,-42.0106,42.0106 ,R10142,2.3.1.210,0,rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C04268,C06018,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)N,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)NC(=O)C,547.0968,589.1074,C16H27N3O14P2,C18H29N3O15P2,-42.0106,42.0106 ,R10174,2.3.1.209,dTDP-viosamine N-acetyltransferase,rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C04630,C20357,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)N,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)NC(=O)C,590.1026,632.1132,C17H28N4O15P2,C19H30N4O16P2,-42.0106,42.0106 ,R10099,2.3.1.203,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C19961,C19971,C[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)N,C[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)NC(=O)C,590.1026,632.1132,C17H28N4O15P2,C19H30N4O16P2,-42.0106,42.0106 ,R09842,2.3.1.202,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C19725,C20359,CC(=O)N[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)C(=O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)N,662.0874,620.0768,C19H28N4O18P2,C17H26N4O17P2,42.0106,42.0106 ,R10100,2.3.1.201,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C19947,C20156,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)N)O,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)NC(=O)C)O,547.0968,589.1074,C16H27N3O14P2,C18H29N3O15P2,-42.0106,42.0106 ,R09873,2.3.1.197,0,rn00523: Polyketide sugar unit biosynthesis///rn00541: O-Antigen nucleotide sugar biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01250: Biosynthesis of nucleotide sugars
C08492,C19757,CC/C=C\CCO,CC/C=C\CCOC(=O)C,100.0888,142.0994,C6H12O,C8H14O2,-42.0106,42.0106 ,R09631,2.3.1.195,0,rn00592: alpha-Linolenic acid metabolism///rn01110: Biosynthesis of secondary metabolites
C17949,C17962,CC(=O)N[C@@H](CC[P+](=O)O)C(=O)O,C(CP(=O)O)[C@@H](C(=O)O)N,209.0453,167.0347,C6H12NO5P,C4H10NO4P,42.0106,42.0106 ,R08871,2.3.1.183,phosphinothricin acetyltransferase,rn00440: Phosphonate and phosphinate metabolism///rn01110: Biosynthesis of secondary metabolites
C03283,C06442,C(CN)[C@@H](C(=O)O)N,CC(=O)NCC[C@@H](C(=O)O)N,118.0742,160.0848,C4H10N2O2,C6H12N2O3,-42.0106,42.0106 ,R06978,2.3.1.178,"Ectoine biosynthesis reaction step2, EctA","rn00260: Glycine, serine and threonine metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments"
C11700,C11900,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)OC(=O)C,544.2308,586.2414,C29H36O10,C31H38O11,-42.0106,42.0106 ,R06311,2.3.1.167,0,rn00904: Diterpenoid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C11895,C11896,CC1=C2CC[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)CC1)O)C,CC1=C2CC[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)CC1)OC(=O)C)C,288.2453,330.2559,C20H32O,C22H34O2,-42.0106,42.0106 ,R06307,2.3.1.162,0,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C00512,C07118,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)C4=CC=CC=C4)O,871.1414,913.152,C28H40N7O17P3S,C30H42N7O18P3S,-42.0106,42.0106 ,R05506,2.3.1.16///2.3.1.-,benzoyl acetyl-CoA thiolase,rn00642: Ethylbenzene degradation///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C04501,C06156,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)N)O)O)O,301.0563,259.0457,C8H16NO9P,C6H14NO8P,42.0106,42.0106 ,R05332,2.3.1.157,0,rn00520: Amino sugar and nucleotide sugar metabolism///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars
C05220,C05322,CN1CC[C@]23C=C([C@H](C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)O)OC,CC(=O)O[C@H]1C=C2[C@H]3CC4=C([C@@]2(CCN3C)C=C1OC)C(=C(C=C4)OC)O,329.1627,371.1733,C19H23NO4,C21H25NO5,-42.0106,42.0106 ,R04723,2.3.1.150,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C01028,C03955,C(CCNO)C[C@@H](C(=O)O)N,CC(=O)N(CCCC[C@@H](C(=O)O)N)O,162.1004,204.111,C6H14N2O3,C8H16N2O4,-42.0106,42.0106 ,R03168,2.3.1.102,0,rn00997: Biosynthesis of various other secondary metabolites///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments
C07027,C07028,C1=CC(=CC=C1C[C@@H](C(=O)N[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=NC4=C3N=CN=C4N)COP(=O)(O)O)N)O,CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=NC4=C3N=CN=C4N)COP(=O)(O)O,509.1424,551.153,C19H24N7O8P,C21H26N7O9P,-42.0106,42.0106 ,R05672,2.3.-.-,"Pac, puromycin N-acetyltransferase///Ref.1. The Journal of Biological chemistry; vol.271, No.3, Jan 19,///pp.1579-1590, 1996",rn00998: Biosynthesis of various antibiotics///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C08276,C15606,CSCCC(=O)O,CSCCC(=O)/C(=C/O)/O,120.0245,162.0351,C4H8O2S,C6H10O3S,-42.0106,42.0106 ,R07363,1.13.11.53,0,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways
C00499,C00603,C(C(=O)O)(NC(=O)N)NC(=O)N,[C@H](C(=O)O)(NC(=O)N)O,176.0546,134.0328,C4H8N4O4,C3H6N2O4,42.0218,42.0218 ,R02422,3.5.3.4,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
C00315,C20560,C(CCNCCCN)CN,C(CCN=C(N)N)CNCCCN,145.1579,187.1797,C7H19N3,C8H21N5,-42.0218,42.0218 ,R10347,3.5.3.24,0,0
C03296,C03415,C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)CN=C(N)N,C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)CN,274.1277,232.1059,C10H18N4O5,C9H16N2O5,42.0218,42.0218 ,R04189,3.5.3.23,0,rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways
C06657,C06658,C1CN(C1=O)[C@@H]([C@@H](CCN=C(N)N)O)C(=O)O,C1CN(C1=O)[C@@H]([C@@H](CCN)O)C(=O)O,244.1172,202.0954,C9H16N4O4,C8H14N2O4,42.0218,42.0218 ,R05357,3.5.3.22,pah gene,rn00331: Clavulanic acid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C00179,C03047,C(CCN=C(N)N)CN,C(CCN=C(N)N)CN=C(N)N,130.1218,172.1436,C5H14N4,C6H16N6,-42.0218,42.0218 ,R01418,3.5.3.20,0,0
C00049,C03139,C([C@@H](C(=O)O)N)C(=O)O,C([C@@H](C(=O)O)N=C(N)N)C(=O)O,133.0375,175.0593,C4H7NO4,C5H9N3O4,-42.0218,42.0218 ,R00777,3.5.3.14,0,0
C00515,C00792,C(C[C@H](C(=O)O)N)CN,C(C[C@H](C(=O)O)N)CN=C(N)N,132.0899,174.1117,C5H12N2O2,C6H14N4O2,-42.0218,42.0218 ,R02458,3.5.3.10,0,rn00470: D-Amino acid metabolism///rn01100: Metabolic pathways
C00383,C15607,C(C(=O)O)C(=O)O,C(C(=O)NC(=O)N)C(=O)O,104.011,146.0328,C3H4O4,C4H6N2O4,-42.0218,42.0218 ,R07629,3.5.1.95,0,rn00240: Pyrimidine metabolism///rn01100: Metabolic pathways
C01283,C01294,[C@H]1([C@H](C([C@H]([C@@H](C1N)O)O)OP(=O)(O)O)O)O,[C@H]1([C@H](C([C@H]([C@@H](C1N=C(N)N)O)O)OP(=O)(O)O)O)O,259.0457,301.0675,C6H14NO8P,C7H16N3O8P,-42.0218,42.0218 ,R03477,2.1.4.2,0,rn00521: Streptomycin biosynthesis///rn01110: Biosynthesis of secondary metabolites
C00245,C01959,C(CS(=O)(=O)O)N,C(CS(=O)(=O)O)N=C(N)N,125.0147,167.0365,C2H7NO3S,C3H9N3O3S,-42.0218,42.0218 ,R01686,2.1.4.1,0,rn00430: Taurine and hypotaurine metabolism
C10192,C19807,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,302.0427,344.0896,C15H10O7,C18H16O7,-42.0469,42.0469 ,R09679,2.1.1.169,three-step reaction (see R09612+R09613+R09678),0
C18070,C18071,C1=CC(=C(C=C1/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O,COC1=C(C=CC(=C1)/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/C2=CC(=C(C=C2)O)OC)C(=O)/C=C/C3=CC(=C(C=C3)O)OC)O,631.253,673.2999,C34H37N3O9,C37H43N3O9,-42.0469,42.0469 ,R08985,2.1.1.-,incomplete reaction,rn00940: Phenylpropanoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C06559,C06560,CC(C)NC1=NC(=NC(=N1)N)Cl,C1(=NC(=NC(=N1)Cl)N)N,187.0625,145.0155,C6H10ClN5,C3H4ClN5,42.047,42.0470 ,R05568,1.14.15.-,Deethylatrazine monooxygenase,rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C00019,C08830,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C,398.1372,440.4018,C15H22N6O5S,C31H52O,-42.2646,42.2646 ,R07481,2.1.1.41,0,rn00100: Steroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C00019,C02890,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,398.1372,355.1784,C15H22N6O5S,C21H25NO4,42.9588,42.9588 ,R04077,2.1.1.89,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C00019,C01137,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C[S+](CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,398.1372,355.1552,C15H22N6O5S,C14H23N6O3S,42.982,42.9820 ,R00178,4.1.1.50,0,rn00270: Cysteine and methionine metabolism///rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways
C05515,C05516,C1=NC(=C(N1)C(=O)O)NC(=O)N,C1=NC(=C(N1)C(=O)O)N,170.044,127.0382,C5H6N4O3,C4H5N3O2,43.0058,43.0058 ,R04857,3.5.3.-,0,rn00230: Purine metabolism///rn01100: Metabolic pathways
C00025,C05829,C(CC(=O)O)[C@@H](C(=O)O)N,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N,147.0532,190.059,C5H9NO4,C6H10N2O5,-43.0058,43.0058 ,R00254,3.5.1.87,0,rn00340: Histidine metabolism
C16631,C16632,C(C(C(=O)O)F)NC(=O)N,C(C(C(=O)O)F)N,150.0441,107.0383,C4H7FN2O3,C3H6FNO2,43.0058,43.0058 ,R08228,3.5.1.6,0,rn00983: Drug metabolism - other enzymes
